algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
sliding_mean,explicit_incremental,continuous,64,11,5.443181818181818,5.407542910870374,5.478820725493263,0.0,100.0,100.0,27500.0,184842883.549,20.543,0.0018181818181818182,0.00027272727272727274,0.0,40,512,0,8,hidden_incremental,0.9915870360863158,-0.8412963913684179
sliding_mean,explicit_incremental,continuous,256,11,6.4270000000000005,4.428402080284409,8.425597919715592,0.0,100.0,100.0,597100.0,180668473.351,20.918,0.00890909090909091,0.003181818181818182,0.0003636363636363636,40,2048,0,8,hidden_incremental,1.071605050550983,7.16050505509831
sliding_mean,explicit_incremental,continuous,1024,11,6.272545454545455,4.482151483609971,8.062939425480938,0.0,100.0,100.0,118200.0,182548375.319,20.748,0.02518181818181818,0.0035454545454545456,9.09090909090909e-05,40,8192,0,8,hidden_incremental,1.036379476087479,3.6379476087478935
sliding_mean,explicit_incremental,continuous,4096,11,5.440090909090909,5.3779944233481025,5.502187394833715,0.0,100.0,100.0,26900.0,184331797.235,20.501,0.003,0.0006363636363636364,0.0,40,32768,0,8,hidden_incremental,1.0021603697749195,0.21603697749195128
sliding_mean,full_recompute,continuous,4,11,3.815818181818182,3.6041938289435036,4.02744253469286,0.0,100.0,100.0,12400.0,267236771.78,14.22,0.002181818181818182,0.00027272727272727274,0.0,0,32,0,32,explicit_incremental,0.6984142830995524,-30.158571690044756
sliding_mean,full_recompute,continuous,16,11,4.902272727272727,4.595793222642742,5.208752231902713,0.0,100.0,100.0,10600.0,209687565.527,18.047,0.0026363636363636363,9.09090909090909e-05,0.0,0,128,0,128,explicit_incremental,0.8918235041180167,-10.81764958819833
sliding_mean,full_recompute,continuous,64,11,18.852818181818183,17.48281909542984,20.222817268206526,100.0,100.0,100.0,20200.0,55944055.944,67.705,0.007090909090909091,0.00045454545454545455,0.0,0,512,0,512,explicit_incremental,3.4635657620041753,246.35657620041752
sliding_mean,full_recompute,continuous,256,11,152.4378181818182,133.54636941648448,171.3292669471519,200.0,200.0,200.0,674200.0,7192433.56,526.48,0.08509090909090909,0.033545454545454545,0.0025454545454545456,0,2048,0,2048,explicit_incremental,23.718347313181606,2271.8347313181607
sliding_mean,full_recompute,continuous,1024,11,708.3252727272727,625.3532956115148,791.2972498430306,700.0,800.0,800.0,9395700.0,1513195.824,2499.769,0.377,0.07081818181818182,0.007090909090909091,0,8192,0,8192,explicit_incremental,112.92469346937592,11192.469346937592
sliding_mean,full_recompute,continuous,4096,11,2711.5303636363637,2688.9056707812924,2734.155056491435,2800.0,2800.0,3300.0,348500.0,369967.38,10232.752,98.47509090909091,0.08581818181818182,0.0005454545454545455,0,32768,0,32768,explicit_incremental,498.4347520930466,49743.47520930466
sliding_mean,hidden_incremental,continuous,4,11,5.499454545454546,5.430050637892941,5.5688584530161505,0.0,100.0,100.0,27400.0,182715147.086,20.721,0.0023636363636363638,0.0003636363636363636,0.0,40,32,0,8,,,
sliding_mean,hidden_incremental,continuous,16,11,5.491909090909091,5.4511992684257535,5.532618913392428,0.0,100.0,100.0,35400.0,183150183.15,20.736,0.0027272727272727275,0.00027272727272727274,0.0,40,128,0,8,,,
sliding_mean,hidden_incremental,continuous,64,11,5.489363636363636,5.455505935588501,5.52322133713877,0.0,100.0,100.0,9200.0,182016745.541,20.782,0.0032727272727272726,0.0,0.0,40,512,0,8,,,
sliding_mean,hidden_incremental,continuous,256,11,5.997545454545454,5.5121617897808575,6.482929119310051,0.0,100.0,100.0,278900.0,179694519.317,21.036,0.008727272727272728,0.003,0.00027272727272727274,40,2048,0,8,,,
sliding_mean,hidden_incremental,continuous,1024,11,6.052363636363636,4.952071904942111,7.152655367785162,0.0,100.0,100.0,43700.0,182016745.541,20.816,0.015454545454545455,0.0018181818181818182,0.0,40,8192,0,8,,,
sliding_mean,hidden_incremental,continuous,4096,11,5.4283636363636365,5.361522777085413,5.49520449564186,0.0,100.0,100.0,16100.0,185288123.031,20.433,0.0032727272727272726,0.00045454545454545455,0.0,40,32768,0,8,,,
