platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,4,100000,0,5.499,0,100,100,4300,181851245.681,0.000,20.805,2,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,4,100000,0,5.445,0,100,100,3100,183654729.109,0.000,20.615,1,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,4,100000,0,3.433,0,100,100,6400,291290416.545,0.000,12.980,3,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,5,100000,0,8.812,0,100,100,3500,113481615.978,1773.150,33.367,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,5,100000,0,3.403,0,100,100,3500,293858360.270,0.000,12.919,2,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,5,100000,0,5.475,0,100,100,9500,182648401.826,0.000,20.729,3,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,5,100000,0,5.592,0,100,100,9000,178826895.565,2794.170,21.135,11,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,5,100000,0,3.478,0,100,100,7200,287521564.117,0.000,13.211,2,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,5,100000,0,11.538,0,100,100,4800,86670133.472,0.000,43.779,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,6,100000,0,3.833,0,100,100,6300,260892251.500,0.000,14.554,2,0,0,0,16,0,16,1820439831759374474
