platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,4,100000,0,5.473,0,100,100,10800,182715147.086,150.259,20.699,3,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,4,100000,0,5.438,0,100,100,700,183889356.678,151.225,20.598,0,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,4,100000,0,3.503,0,100,100,4200,285504527.286,159.322,13.234,3,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,5,100000,0,8.505,0,100,100,10800,117579047.414,153.098,32.204,2,1,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,5,100000,0,4.118,0,100,100,6000,242860355.296,140.544,15.597,2,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,5,100000,0,5.475,0,100,100,7300,182632600.880,150.191,20.733,4,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,5,100000,0,5.491,0,100,100,11800,182123172.777,149.772,20.733,3,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,5,100000,0,4.092,0,100,100,16600,244381267.361,127.282,15.372,4,2,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,5,100000,0,11.467,0,100,100,28900,87210147.385,151.407,43.429,4,1,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,6,100000,0,3.797,0,100,100,11400,263372990.646,0.000,14.381,1,1,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,6,100000,0,5.504,0,100,100,8200,181680834.584,0.000,20.837,2,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,6,100000,0,5.481,0,100,100,9600,182439698.878,0.000,20.749,3,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,6,100000,0,3.660,0,100,100,6000,273221555.359,142.303,13.854,2,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,6,100000,0,11.603,0,100,100,6400,86185350.214,134.665,43.815,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,6,100000,0,8.398,0,100,100,7600,119075970.469,155.047,31.825,4,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,7,100000,0,5.442,0,100,100,28400,183739978.918,151.102,20.622,3,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,7,100000,0,5.446,0,100,100,8800,183633429.016,151.014,20.637,2,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,7,100000,0,3.395,0,100,100,3600,294540399.161,184.088,12.869,2,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,7,100000,0,11.441,0,100,100,3900,87404947.120,151.745,43.345,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,7,100000,0,8.517,0,100,100,4700,117418597.299,141.128,32.266,2,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,7,100000,0,3.448,0,100,100,3100,289998281.492,167.823,13.067,1,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,8,100000,0,5.429,0,100,100,6600,184185270.995,151.468,20.571,1,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,8,100000,0,3.629,0,100,100,1100,275547531.949,148.463,13.747,1,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,8,100000,0,11.642,0,100,100,4800,85898353.615,149.129,44.063,4,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,8,100000,0,8.539,0,100,100,4500,117106303.247,0.000,32.368,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,8,100000,0,4.081,0,100,100,27000,245029975.334,0.000,15.468,2,1,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,8,100000,0,5.426,0,100,100,6400,184290674.892,0.000,20.565,2,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,9,100000,0,4.111,0,100,100,4200,243231455.698,131.051,15.573,1,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,9,100000,0,11.469,0,100,100,9700,87191559.857,151.374,43.457,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,9,100000,0,8.756,0,100,100,3100,114208487.594,148.709,33.163,2,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,9,100000,0,3.465,0,100,100,5700,288603160.702,155.497,13.117,1,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,9,100000,0,6.320,0,100,100,20700,158239708.173,130.131,23.804,2,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,9,100000,0,5.446,0,100,100,10300,183608585.151,150.994,20.635,2,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,10,100000,0,11.576,0,100,100,6900,86388610.526,134.982,43.830,2,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,10,100000,0,8.472,0,100,100,9300,118037043.959,153.694,32.085,1,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,10,100000,0,4.109,0,100,100,6000,243366241.857,126.753,15.527,1,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,10,100000,0,5.476,0,100,100,400,182615047.480,0.000,20.631,0,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,10,100000,0,5.445,0,100,100,500,183638753.576,0.000,20.582,0,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,10,100000,0,4.072,0,100,100,5800,245587609.286,127.910,15.426,2,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,11,100000,0,8.754,0,100,100,5000,114229143.662,148.736,33.179,3,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,11,100000,0,3.450,0,100,100,500,289893854.250,174.215,13.075,0,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,11,100000,0,5.458,0,100,100,26400,183213762.246,150.669,20.677,4,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,11,100000,0,5.445,0,100,100,4400,183647628.529,151.026,20.622,1,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,11,100000,0,4.269,0,100,100,5800,234250680.539,126.213,16.164,3,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,11,100000,0,11.456,0,100,100,12700,87288809.575,151.543,43.303,3,1,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,1,100000,0,5.486,0,100,100,8100,182276635.173,158.226,20.733,1,0,0,40,128,0,8,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,1,100000,0,5.456,0,100,100,6100,183275617.591,150.720,20.662,1,0,0,40,128,0,8,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,1,100000,0,5.133,0,100,100,13400,194811519.855,0.000,19.446,3,1,0,0,128,0,128,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,1,100000,0,12.607,0,100,100,28400,79323808.600,137.715,47.690,3,2,0,240,0,0,8,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,1,100000,0,10.377,0,100,100,4200,96363250.911,150.568,39.300,1,0,0,240,0,0,8,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,1,100000,0,10.124,0,100,100,14300,98779622.662,140.312,38.344,3,1,0,0,64,0,64,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",16,2,100000,0,5.458,0,100,100,500,183224363.054,150.678,20.660,0,0,0,40,128,0,8,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,2,100000,0,4.781,0,100,100,4000,209179493.437,136.185,18.072,1,0,0,0,128,0,128,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,2,100000,0,12.534,0,100,100,11000,79782194.609,155.825,47.397,1,1,0,240,0,0,8,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,2,100000,0,10.912,0,100,100,12100,91639709.319,0.000,41.316,4,2,0,240,0,0,8,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",16,2,100000,0,10.136,0,100,100,6200,98660902.478,0.000,38.375,1,0,0,0,64,0,64,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",16,2,100000,0,5.869,0,100,100,8500,170373027.260,140.109,22.150,7,0,0,40,128,0,8,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",16,3,100000,0,5.629,0,100,100,3400,177645959.327,120.683,21.314,1,0,0,0,128,0,128,1775541455223697805
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",16,3,100000,0,12.832,0,100,100,13000,77929415.432,152.206,48.589,2,1,0,240,0,0,8,18439528701114761817
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",16,3,100000,0,11.406,0,100,100,8400,87671617.191,136.987,42.920,1,0,0,240,0,0,8,18439528701114761817
