algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
rolling_max,explicit_incremental,continuous,4096,7,11.787142857142857,10.320853981703479,13.253431732582236,0.0,100.0,100.0,2000.0,92024539.877,41.344,0.0011904761904761906,0.0,0.0,49184,0,0,8,hidden_incremental,1.1569471514505656,15.69471514505656
rolling_max,full_recompute,continuous,4,7,3.989142857142857,3.2926382118176356,4.685647502468078,0.0,100.0,100.0,32900.0,260869565.217,14.666,0.002380952380952381,0.0011904761904761906,0.0,0,16,0,16,explicit_incremental,0.3770150946453163,-62.29849053546837
rolling_max,full_recompute,continuous,16,7,10.077285714285713,10.014560286317984,10.140011142253442,0.0,100.0,100.0,12400.0,99585062.241,38.215,0.002380952380952381,0.0011904761904761906,0.0,0,64,0,64,explicit_incremental,0.8278585595418323,-17.21414404581677
rolling_max,full_recompute,continuous,64,7,14.871571428571428,11.737761646627977,18.00538121051488,0.0,100.0,100.0,23500.0,72992700.73,52.249,0.004761904761904762,0.0035714285714285713,0.0,0,256,0,256,explicit_incremental,1.10823556965529,10.82355696552899
rolling_max,full_recompute,continuous,256,7,29.11185714285714,27.752498176863067,30.471216108851213,0.0,100.0,100.0,1600.0,34752389.227,108.638,0.002380952380952381,0.0,0.0,0,1024,0,1024,explicit_incremental,2.6241420605998167,162.41420605998167
rolling_max,full_recompute,continuous,1024,7,109.09042857142857,106.0621391640219,112.11871797883525,100.0,200.0,200.0,6600.0,9321836.402,406.388,0.009523809523809525,0.0,0.0,0,4096,0,4096,explicit_incremental,9.90457723187071,890.4577231870711
rolling_max,full_recompute,continuous,4096,7,391.6392857142857,380.6819079087492,402.59666351982213,400.0,500.0,600.0,163100.0,2556618.446,1482.494,0.075,0.011904761904761904,0.0011904761904761906,0,16384,0,16384,explicit_incremental,33.225972609380676,3222.597260938068
rolling_max,hidden_incremental,continuous,4,7,9.245142857142856,8.990389775486197,9.499895938799515,0.0,100.0,100.0,300.0,107142857.143,35.528,0.0,0.0,0.0,49184,0,0,8,,,
rolling_max,hidden_incremental,continuous,16,7,12.131142857142859,10.384669901049133,13.877615813236584,0.0,100.0,100.0,9200.0,81855388.813,46.528,0.0011904761904761906,0.0,0.0,49184,0,0,8,,,
rolling_max,hidden_incremental,continuous,64,7,12.682,11.585464040477751,13.77853595952225,0.0,100.0,100.0,10400.0,75901328.273,50.226,0.015476190476190477,0.0011904761904761906,0.0,49184,0,0,8,,,
