algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,tick_selective,tick_only,64,0,16,5,2001,0,0,0,159.570,100,200,300,16000,6266833.699,704.577,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,6,2001,0,6144,64,781.559,700,800,1000,26300,1279493.574,2868.919,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,6,2001,0,0,0,25.137,0,100,100,200,39781312.127,204.910,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,6,2001,0,0,0,132.684,100,200,300,14900,7536723.164,576.816,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,6,2001,0,6144,64,798.501,700,900,1100,33200,1252346.977,2959.715,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,6,2001,0,0,0,37.081,0,100,100,23500,26967654.987,230.689,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,6,2001,0,0,0,132.784,100,200,200,300,7531050.056,613.970,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,7,2001,0,6144,64,652.924,600,800,1000,20000,1531572.905,2561.080,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,7,2001,0,0,0,23.388,0,100,100,100,42756410.256,187.470,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,7,2001,0,0,0,117.341,100,100,200,28000,8522146.508,488.483,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,7,2001,0,6144,64,766.067,700,800,900,30700,1305368.909,2858.682,0,0,0,1536,768,0,2304,3,17870180632888718933
