algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,tick_selective,tick_only,256,0,16,1,2001,0,0,0,307.596,300,300,300,11200,3251015.435,1248.031,0,0,0,11264,0,0,11264,3,11447310553278571365
derived_vectors,change_density,stateless_full,frame_total,256,0,16,2,2001,0,24576,256,6473.713,5800,7100,16500,744300,154470.854,22430.070,2,0,0,6144,3072,0,9216,3,11447310553278571365
derived_vectors,change_density,stateful_event,frame_total,256,0,16,2,2001,0,0,0,26.687,0,100,100,100,37471910.112,197.137,0,0,0,9216,0,0,9216,4,11447310553278571365
derived_vectors,change_density,tick_selective,frame_total,256,0,16,2,2001,0,0,0,444.728,400,500,600,21000,2248567.255,1774.237,0,0,0,11264,0,0,11264,3,11447310553278571365
derived_vectors,change_density,stateless_full,tick_only,256,0,16,2,2001,0,24576,256,5544.778,5000,7000,9000,37100,180349.884,20913.439,0,0,0,6144,3072,0,9216,3,11447310553278571365
derived_vectors,change_density,stateful_event,tick_only,256,0,16,2,2001,0,0,0,28.936,0,100,100,12000,34559585.492,194.483,0,0,0,9216,0,0,9216,4,11447310553278571365
derived_vectors,change_density,tick_selective,tick_only,256,0,16,2,2001,0,0,0,303.198,300,300,300,6200,3298170.430,1240.829,0,0,0,11264,0,0,11264,3,11447310553278571365
derived_vectors,change_density,stateless_full,frame_total,256,1,16,1,2001,3,24576,256,5418.941,5000,6900,9600,45200,184537.917,20441.444,0,0,0,6144,3072,0,9216,3,678373275467497227
derived_vectors,change_density,stateful_event,frame_total,256,1,16,1,2001,3,288,3,104.348,100,100,200,400,9583333.333,508.197,0,0,0,9216,0,84,9300,4,678373275467497227
derived_vectors,change_density,tick_selective,frame_total,256,1,16,1,2001,3,288,3,370.315,400,400,500,800,2700404.858,1537.293,0,0,0,11264,0,84,11348,3,678373275467497227
derived_vectors,change_density,stateless_full,tick_only,256,1,16,1,2001,3,24576,256,5953.923,6000,6900,8100,35800,167956.487,22483.334,0,0,0,6144,3072,0,9216,3,678373275467497227
derived_vectors,change_density,stateful_event,tick_only,256,1,16,1,2001,3,288,3,21.789,0,100,100,100,45894495.413,532.840,0,0,0,9216,0,84,9300,4,678373275467497227
derived_vectors,change_density,tick_selective,tick_only,256,1,16,1,2001,3,288,3,351.774,400,400,400,600,2842733.343,1480.806,0,0,0,11264,0,84,11348,3,678373275467497227
derived_vectors,change_density,stateless_full,frame_total,256,1,16,2,2001,3,24576,256,5698.601,5000,10000,15200,272800,175481.676,20951.350,1,0,0,6144,3072,0,9216,3,2768157683059218416
derived_vectors,change_density,stateful_event,frame_total,256,1,16,2,2001,3,288,3,104.148,100,100,200,300,9601727.447,522.983,0,0,0,9216,0,84,9300,4,2768157683059218416
derived_vectors,change_density,tick_selective,frame_total,256,1,16,2,2001,3,288,3,794.703,400,900,1000,656100,1258332.285,1909.579,1,0,0,11264,0,84,11348,3,2768157683059218416
derived_vectors,change_density,stateless_full,tick_only,256,1,16,2,2001,3,24576,256,5780.310,5700,6400,8300,46100,173001.107,21865.195,0,0,0,6144,3072,0,9216,3,2768157683059218416
derived_vectors,change_density,stateful_event,tick_only,256,1,16,2,2001,3,288,3,24.238,0,100,100,500,41257731.959,590.654,0,0,0,9216,0,84,9300,4,2768157683059218416
derived_vectors,change_density,tick_selective,tick_only,256,1,16,2,2001,3,288,3,514.893,500,700,800,31900,1942152.771,2084.918,0,0,0,11264,0,84,11348,3,2768157683059218416
