platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,4,12000,0,5.442,0,100,100,300,183767228.178,0.000,20.798,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,4,12000,0,5.417,0,100,100,300,184615384.615,0.000,20.703,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,4,12000,0,4.292,0,100,100,200,233009708.738,0.000,16.373,0,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,5,12000,0,12.000,0,100,100,500,83333333.333,0.000,45.800,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,5,12000,0,3.450,0,100,100,300,289855072.464,0.000,13.244,0,0,0,0,16,0,16,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,5,12000,0,5.442,0,100,100,10100,183767228.178,0.000,20.767,1,1,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,5,12000,0,5.417,0,100,100,200,184615384.615,0.000,20.640,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,5,12000,0,4.617,0,100,100,300,216606498.195,0.000,17.163,0,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,5,12000,0,9.625,0,100,100,200,103896103.896,0.000,36.666,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,6,12000,0,3.450,0,100,100,200,289855072.464,0.000,13.212,0,0,0,0,16,0,16,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,6,12000,0,5.417,0,100,100,200,184615384.615,0.000,20.672,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,6,12000,0,5.417,0,100,100,200,184615384.615,0.000,20.640,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,6,12000,0,4.292,0,100,100,300,233009708.738,0.000,16.405,0,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,6,12000,0,9.383,0,100,100,300,106571936.057,0.000,35.749,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,6,12000,0,9.758,0,100,100,400,102476515.798,0.000,37.266,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,7,12000,0,5.442,0,100,100,200,183767228.178,0.000,20.798,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,7,12000,0,5.408,0,100,100,300,184899845.917,0.000,20.672,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,7,12000,0,5.050,0,100,100,500,198019801.980,0.000,18.586,0,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,7,12000,0,9.458,0,100,100,200,105726872.247,0.000,36.033,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,7,12000,0,10.350,0,100,100,200,96618357.488,0.000,39.352,0,0,0,49184,0,0,8,13879756857014277832
