algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetitions,total_samples,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us_pct,miss_1ms_pct,miss_16_67ms_pct,changed_entities,arithmetic_per_tick,vector_multiplies_per_tick,vector_adds_per_tick,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum_consistent,mean_ratio_to_stateful,p99_increment_over_stateful_ns,working_memory_ratio_to_stateful
derived_vectors,change_density,stateful_event,tick_only,1024,1,16,11,8943,23.403545454545455,22.6727803283429,24.13431058074801,0.0,100.0,100.0,100.0,43244680.851,1413.161,0.0,0.0,0.0,11,1056,176,176,36864,0,308,37172,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,1024,10,16,11,8943,22.788545454545456,21.565163018562473,24.01192789052844,0.0,100.0,100.0,200.0,44426229.508,11574.017,0.0,0.0,0.0,103,9888,1648,1648,36864,0,2884,39748,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,1024,100,16,11,8943,25.584,23.604388803112546,27.563611196887454,0.0,100.0,100.0,4400.0,40447761.194,114492.141,0.0,0.0,0.0,1024,98304,16384,16384,36864,0,28672,65536,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,4096,0,16,11,2233,22.167545454545458,20.546370464718066,23.78872044437285,0.0,100.0,100.0,100.0,43191489.362,186.847,0.0,0.0,0.0,0,0,0,0,147456,0,0,147456,4,1,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,4096,1,16,11,2233,22.884090909090908,21.943900853767545,23.82428096441427,0.0,100.0,100.0,100.0,43191489.362,4712.291,0.0,0.0,0.0,41,3936,656,656,147456,0,1148,148604,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,4096,10,16,11,2233,23.779636363636367,21.280853716580225,26.27841901069251,0.0,100.0,100.0,200.0,38301886.792,46084.015,0.0,0.0,0.0,410,39360,6560,6560,147456,0,11480,158936,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateful_event,tick_only,4096,100,16,11,2233,32.64663636363636,28.45268693693344,36.84058579033928,0.0,100.0,100.0,500.0,31718750.0,475730.034,0.0,0.0,0.0,4096,393216,65536,65536,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,change_density,stateless_full,frame_total,64,0,16,11,22011,1560.5424545454546,1407.4913441291014,1713.5935649618077,1300.0,1700.0,2000.0,766000.0,627213.742,5695.567,0.018172731815910226,0.0,0.0,0,6144,1024,1024,1536,768,0,2304,3,1,62.237926558670395,1900.0,1.0
derived_vectors,change_density,stateless_full,frame_total,64,1,16,11,22011,1331.8114545454546,1278.8673898026789,1384.7555192882303,1300.0,1300.0,1800.0,53700.0,769142.066,4997.434,0.0,0.0,0.0,1,6144,1024,1024,1536,768,0,2304,3,0,25.967265128002428,1700.0,0.9879931389365352
derived_vectors,change_density,stateless_full,frame_total,64,10,16,11,22011,1310.6039090909092,1291.8952684247913,1329.312549757027,1300.0,1300.0,1900.0,38600.0,771217.143,5052.405,0.0,0.0,0.0,7,6144,1024,1024,1536,768,0,2304,3,0,6.116335436507667,1600.0,0.9216
derived_vectors,change_density,stateless_full,frame_total,64,100,16,11,22011,1372.8408181818181,1328.9192749560814,1416.7623614075549,1300.0,1400.0,1700.0,149500.0,746976.258,5646.282,0.009086365907955113,0.0,0.0,64,6144,1024,1024,1536,768,0,2304,3,0,0.758346355138976,-400.0,0.5625
derived_vectors,change_density,stateless_full,frame_total,256,0,16,11,22011,5285.911545454545,5060.378903030829,5511.444187878262,5000.0,5700.0,7800.0,111900.0,194134.254,19451.967,0.0045431829539775564,0.0,0.0,0,24576,4096,4096,6144,3072,0,9216,3,1,221.87084600502925,7700.0,1.0
derived_vectors,change_density,stateless_full,frame_total,256,1,16,11,22011,5135.7139090909095,5033.311586502966,5238.116231678853,5000.0,5100.0,7400.0,56400.0,196305.416,19342.404,0.0,0.0,0.0,3,24576,4096,4096,6144,3072,0,9216,3,0,48.71253553662569,7200.0,0.9909677419354839
derived_vectors,change_density,stateless_full,frame_total,256,10,16,11,22011,5516.282818181818,5299.9844535945585,5732.581182769077,5000.0,6700.0,9100.0,163200.0,181714.161,20989.641,0.009086365907955113,0.0,0.0,26,24576,4096,4096,6144,3072,0,9216,3,0,7.351413495929403,8200.0,0.9267900241351569
derived_vectors,change_density,stateless_full,frame_total,256,100,16,11,22011,5516.9686363636365,5304.564654051713,5729.37261867556,5100.0,6400.0,9500.0,82500.0,183640.318,22692.224,0.0,0.0,0.0,256,24576,4096,4096,6144,3072,0,9216,3,0,0.7666471753975084,-3100.0,0.5625
derived_vectors,change_density,stateless_full,frame_total,1024,0,16,11,8943,21701.285909090908,20666.881577762204,22735.69024041961,19900.0,26300.0,36800.0,243100.0,47110.498,79411.332,0.011181930001118194,0.0,0.0,0,98304,16384,16384,24576,12288,0,36864,3,1,824.8046776472864,36700.0,1.0
derived_vectors,change_density,stateless_full,frame_total,1024,1,16,11,8943,21434.943727272726,20798.98189957032,22070.905554975132,19900.0,27300.0,35900.0,64000.0,46988.244,80215.185,0.0,0.0,0.0,11,98304,16384,16384,24576,12288,0,36864,3,0,66.13062561247803,35500.0,0.9917141934789626
derived_vectors,change_density,stateless_full,frame_total,1024,10,16,11,8943,20993.044818181817,20035.221080434276,21950.86855592936,19900.0,23800.0,30700.0,151900.0,49014.584,77902.064,0.011181930001118194,0.0,0.0,103,98304,16384,16384,24576,12288,0,36864,3,0,7.3060280938664235,27500.0,0.9274428902083124
derived_vectors,change_density,stateless_full,frame_total,1024,100,16,11,8943,21518.975818181818,20905.82890660647,22132.122729757164,20600.0,25200.0,31700.0,61100.0,47176.38,88297.121,0.0,0.0,0.0,1024,98304,16384,16384,24576,12288,0,36864,3,0,0.7581333934112395,-7400.0,0.5625
derived_vectors,change_density,stateless_full,frame_total,4096,0,16,11,2233,83072.772,80913.18318762467,85232.36081237532,79300.0,92200.0,99200.0,163700.0,12260.009,307309.616,3.269144648454993,0.0,0.0,0,393216,65536,65536,98304,49152,0,147456,3,1,2797.8937486795894,99100.0,1.0
derived_vectors,change_density,stateless_full,frame_total,4096,1,16,11,2233,81232.69154545454,80496.70193825549,81968.68115265359,79300.0,90100.0,97700.0,146400.0,12353.944,305603.709,1.1195700850873265,0.0,0.0,41,393216,65536,65536,98304,49152,0,147456,3,0,70.46289313562141,96500.0,0.9922747705310759
derived_vectors,change_density,stateless_full,frame_total,4096,10,16,11,2233,83814.42,81757.69356887473,85871.14643112526,79700.0,94100.0,102900.0,262300.0,12168.44,315444.931,4.164800716524854,0.0,0.0,410,393216,65536,65536,98304,49152,0,147456,3,0,7.364002612501171,82600.0,0.9277696682941562
derived_vectors,change_density,stateless_full,frame_total,4096,100,16,11,2233,89779.53427272727,85728.47930248136,93830.58924297318,83100.0,106500.0,120300.0,225100.0,11336.412,372156.813,17.86833855799373,0.0,0.0,4096,393216,65536,65536,98304,49152,0,147456,3,0,0.7786216051354645,-19200.0,0.5625
derived_vectors,change_density,stateless_full,tick_only,64,0,16,11,22011,1483.5581818181818,1409.3438287928038,1557.7725348435597,1300.0,1600.0,2000.0,314700.0,693683.7,5491.036,0.0045431829539775564,0.0,0.0,0,6144,1024,1024,1536,768,0,2304,3,1,62.74854655633825,1900.0,1.0
derived_vectors,change_density,stateless_full,tick_only,64,1,16,11,22011,1301.2267272727274,1286.1734167580694,1316.2800377873855,1300.0,1300.0,1500.0,55800.0,772348.309,4991.557,0.0,0.0,0.0,1,6144,1024,1024,1536,768,0,2304,3,0,54.78471913896842,1400.0,0.9879931389365352
derived_vectors,change_density,stateless_full,tick_only,64,10,16,11,22011,1360.1428181818183,1296.7572585543558,1423.5283778092808,1300.0,1500.0,2000.0,120100.0,758270.491,5143.013,0.0045431829539775564,0.0,0.0,7,6144,1024,1024,1536,768,0,2304,3,0,58.46167762708024,1900.0,0.9216
derived_vectors,change_density,stateless_full,tick_only,64,100,16,11,22011,1315.424090909091,1269.6391498917567,1361.2090319264255,1300.0,1300.0,1700.0,25600.0,774560.656,5620.502,0.0,0.0,0.0,64,6144,1024,1024,1536,768,0,2304,3,0,55.35047184787641,1600.0,0.5625
derived_vectors,change_density,stateless_full,tick_only,256,0,16,11,22011,5279.137636363636,5079.300499063852,5478.974773663421,5000.0,6100.0,8100.0,664400.0,192743.0,19582.571,0.0045431829539775564,0.0,0.0,0,24576,4096,4096,6144,3072,0,9216,3,1,223.63283256761494,8000.0,1.0
derived_vectors,change_density,stateless_full,tick_only,256,1,16,11,22011,5122.652363636364,5062.4494653220345,5182.855261950693,5000.0,5100.0,7500.0,41200.0,196521.346,19313.212,0.0,0.0,0.0,3,24576,4096,4096,6144,3072,0,9216,3,0,187.79928678553574,7400.0,0.9909677419354839
derived_vectors,change_density,stateless_full,tick_only,256,10,16,11,22011,5437.999272727273,5191.328572214468,5684.6699732400775,5000.0,6500.0,9100.0,82100.0,186380.529,20561.246,0.0,0.0,0.0,26,24576,4096,4096,6144,3072,0,9216,3,0,224.90757124004108,9000.0,0.9267900241351569
derived_vectors,change_density,stateless_full,tick_only,256,100,16,11,22011,5500.645181818182,5151.9116497275245,5849.37871390884,5000.0,5200.0,8900.0,262400.0,193855.901,21932.677,0.01362954886193267,0.0,0.0,256,24576,4096,4096,6144,3072,0,9216,3,0,213.0096564786065,8800.0,0.5625
derived_vectors,change_density,stateless_full,tick_only,1024,0,16,11,8943,21683.819727272727,20952.09176823518,22415.547686310274,19900.0,26500.0,39900.0,71800.0,46218.917,81270.504,0.0,0.0,0.0,0,98304,16384,16384,24576,12288,0,36864,3,1,923.4301858304297,39800.0,1.0
derived_vectors,change_density,stateless_full,tick_only,1024,1,16,11,8943,21089.377272727274,20668.371625463482,21510.382919991065,19900.0,26200.0,36500.0,224000.0,47514.962,79475.715,0.011181930001118194,0.0,0.0,11,98304,16384,16384,24576,12288,0,36864,3,0,901.1189058378878,36400.0,0.9917141934789626
derived_vectors,change_density,stateless_full,tick_only,1024,10,16,11,8943,20660.930272727273,20418.612689070727,20903.24785638382,19800.0,24700.0,31600.0,105100.0,48438.99,79332.952,0.011181930001118194,0.0,0.0,103,98304,16384,16384,24576,12288,0,36864,3,0,906.6366396195856,31500.0,0.9274428902083124
derived_vectors,change_density,stateless_full,tick_only,1024,100,16,11,8943,20959.823272727273,20493.96145106451,21425.685094390035,19900.0,26200.0,34500.0,63000.0,47883.807,90456.29,0.0,0.0,0.0,1024,98304,16384,16384,24576,12288,0,36864,3,0,819.255131047814,34400.0,0.5625
derived_vectors,change_density,stateless_full,tick_only,4096,0,16,11,2233,82238.82654545455,80748.83528636221,83728.81780454688,79300.0,92100.0,105400.0,160000.0,12292.228,306384.729,3.090013434841021,0.0,0.0,0,393216,65536,65536,98304,49152,0,147456,3,1,3709.87517377985,105300.0,1.0
derived_vectors,change_density,stateless_full,tick_only,4096,1,16,11,2233,82220.77927272726,79204.30673075987,85237.25181469465,79200.0,90100.0,96400.0,135800.0,12383.712,305566.315,4.075235109717869,0.0,0.0,41,393216,65536,65536,98304,49152,0,147456,3,0,3592.9231184824707,96300.0,0.9922747705310759
derived_vectors,change_density,stateless_full,tick_only,4096,10,16,11,2233,83738.558,81178.94869332526,86298.16730667475,79300.0,95300.0,107800.0,251300.0,12113.617,318333.611,5.060456784594716,0.0,0.0,410,393216,65536,65536,98304,49152,0,147456,3,0,3521.4398033458724,107700.0,0.9277696682941562
derived_vectors,change_density,stateless_full,tick_only,4096,100,16,11,2233,84240.25981818182,81582.32662496463,86898.19301139901,79500.0,97900.0,117300.0,218900.0,12037.119,367272.655,6.806986117330945,0.0,0.0,4096,393216,65536,65536,98304,49152,0,147456,3,0,2580.365673200358,117200.0,0.5625
derived_vectors,change_density,tick_selective,frame_total,64,0,16,11,22011,108.35036363636364,94.15524192506395,122.54548534766333,100.0,200.0,200.0,84700.0,8443037.975,490.569,0.0,0.0,0.0,0,0,0,0,2816,0,0,2816,3,1,4.321255057792989,100.0,1.2222222222222223
derived_vectors,change_density,tick_selective,frame_total,64,1,16,11,22011,107.87790909090909,99.77137193018463,115.98444625163354,100.0,100.0,200.0,12900.0,9704170.708,493.033,0.0,0.0,0.0,1,96,16,16,2816,0,28,2844,3,0,2.1033715074738244,100.0,1.2195540308747856
derived_vectors,change_density,tick_selective,frame_total,64,10,16,11,22011,223.57454545454542,206.71378883288807,240.43530207620276,200.0,300.0,300.0,26000.0,4607414.23,975.83,0.0,0.0,0.0,7,672,112,112,2816,0,196,3012,3,0,1.0433792434002862,0.0,1.2048
derived_vectors,change_density,tick_selective,frame_total,64,100,16,11,22011,1474.1265454545455,1402.3292376931652,1545.9238532159259,1400.0,1400.0,2000.0,52200.0,702598.315,5892.514,0.0,0.0,0.0,64,6144,1024,1024,2816,0,1792,4608,3,0,0.8142957857558478,-100.0,1.125
derived_vectors,change_density,tick_selective,frame_total,256,0,16,11,22011,324.7150909090909,300.4850428981474,348.9451389200344,300.0,300.0,400.0,19600.0,3227419.355,1255.234,0.0,0.0,0.0,0,0,0,0,11264,0,0,11264,3,1,13.629590906142322,300.0,1.2222222222222223
derived_vectors,change_density,tick_selective,frame_total,256,1,16,11,22011,362.78227272727275,356.86032641523514,368.7042190393104,400.0,400.0,400.0,16100.0,2773004.435,1480.427,0.0,0.0,0.0,3,288,48,48,11264,0,84,11348,3,0,3.441010279214189,200.0,1.2202150537634409
derived_vectors,change_density,tick_selective,frame_total,256,10,16,11,22011,899.2821818181818,795.0774919996828,1003.4868716366808,800.0,900.0,1400.0,28000.0,1214641.253,3439.29,0.0,0.0,0.0,26,2496,416,416,11264,0,728,11992,3,0,1.1984510921515847,500.0,1.2059533386967016
derived_vectors,change_density,tick_selective,frame_total,256,100,16,11,22011,5918.972454545455,5724.145823512904,6113.799085578005,5500.0,7300.0,9800.0,122300.0,165826.897,25184.875,0.0045431829539775564,0.0,0.0,256,24576,4096,4096,11264,0,7168,18432,3,0,0.8225102973439915,-2800.0,1.125
derived_vectors,change_density,tick_selective,frame_total,1024,0,16,11,8943,1323.8622727272727,1174.9211078972078,1472.8034375573377,1200.0,1200.0,2000.0,32900.0,836591.891,4602.454,0.0,0.0,0.0,0,0,0,0,45056,0,0,45056,3,1,50.316271564755596,1900.0,1.2222222222222223
