algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
game_tick_motion,explicit_stateful,entities_4096,1,11,13697.65281818182,10132.961465835499,17262.34417052814,11100.0,13600.0,25000.0,17682800.0,89516.647,41721.834,100.0,66.9150521609538,0.8383010432190761,98304,0,0,147456,hidden_stateful,1.0518317511291748,5.183175112917482
game_tick_motion,explicit_stateful,entities_4096,4,11,53218.430090909096,24998.359369869642,81438.50081194856,31900.0,63300.0,208300.0,23351200.0,22458.466,133145.176,100.0,98.80774962742176,2.459016393442623,98304,0,0,147456,hidden_stateful,1.3420535019260122,34.20535019260122
game_tick_motion,explicit_stateful,entities_4096,16,11,22587.522,20452.033295438374,24723.010704561628,21700.0,28100.0,47000.0,105100.0,44375.808,84398.484,100.0,100.0,0.14204545454545456,98304,0,0,147456,hidden_stateful,0.924620052653044,-7.537994734695596
game_tick_motion,explicit_stateful,entities_4096,64,11,32221.707272727275,27980.343271211535,36463.07127424302,29200.0,36600.0,63400.0,4179700.0,32133.891,110961.055,100.0,100.0,0.7102272727272727,98304,0,0,147456,hidden_stateful,0.7972564996698193,-20.274350033018074
game_tick_motion,explicit_stateful,entities_64,1,11,258.49545454545455,177.73072717077582,339.2601819201333,200.0,200.0,300.0,1575600.0,4578821.668,623.6,0.15418181818181817,0.07010909090909091,0.012509090909090909,1536,0,0,2304,hidden_stateful,0.8477588035344428,-15.224119646555723
game_tick_motion,explicit_stateful,entities_64,4,11,166.95463636363635,139.20708606758876,194.70218665968395,200.0,200.0,300.0,2275000.0,6855047.417,519.132,0.07620355073644042,0.04071945459199106,0.008725597412569513,1536,0,0,2304,hidden_stateful,1.1003587772812733,10.035877728127328
game_tick_motion,explicit_stateful,entities_64,16,11,209.043,162.9760918137806,255.1099081862194,200.0,200.0,300.0,241700.0,5340856.268,555.936,0.09972170686456401,0.034786641929499075,0.00463821892393321,1536,0,0,2304,hidden_stateful,0.8770438374503451,-12.295616254965491
game_tick_motion,explicit_stateful,entities_64,64,11,125.05309090909091,115.56683252412309,134.53934929405875,100.0,200.0,200.0,12300.0,7668442.562,492.482,0.06214488636363636,0.00887784090909091,0.0,1536,0,0,2304,hidden_stateful,1.0122485262399563,1.2248526239956314
game_tick_motion,explicit_stateful,entities_64,256,11,217.62545454545455,184.34163555875213,250.90927353215696,200.0,200.0,200.0,14800.0,5086213.014,567.977,0.03551136363636364,0.03551136363636364,0.0,1536,0,0,2304,hidden_stateful,1.1050817381397413,10.508173813974132
game_tick_motion,hidden_stateful,entities_1024,1,11,4208.573545454546,2768.1854426266327,5648.961648282459,2800.0,3400.0,18300.0,10312800.0,267133.546,11108.072,100.0,1.4895498766466508,0.2048131080389145,24576,0,0,36864,,,
